en_td,energy_eV,eedf
1.5,0.07649956567504418,0.1586075231281295
1.5,0.08920875869454034,0.158606987547344
1.5,0.10289558194630544,0.1586066314500607
1.5,0.11756003543033947,0.15860639347231448
1.5,0.13320211914664243,0.15860620829515057
1.5,0.14982183309521432,0.1586060883003492
1.5,0.16741917727605515,0.15860600940503916
1.5,0.18599415168916494,0.15860595581716957
1.5,0.20554675633454364,0.15860592029075402
1.5,0.22607699121219127,0.1586058894415525
1.5,0.2475848563221078,0.15860586014734995
1.5,0.2700703516642933,0.15860582097708836
1.5,0.2935334772387478,0.15860576377431804
1.5,0.31797423304547123,0.1586056685205657
1.5,0.3433926190844635,0.15860550991746386
1.5,0.3697886353557247,0.15860524751131153
1.5,0.39716228185925484,0.15860482409855817
1.5,0.425513558595054,0.158604166949023
1.5,0.45484246556312213,0.15860317434138246
1.5,0.48514900276345907,0.15860172617870572
1.5,0.5164331701960649,0.15859966853620738
1.5,0.5486949678609399,0.15859681884322457
1.5,0.5819343957580837,0.15859295547407215
1.5,0.6161514538874965,0.15858782155365053
1.5,0.6513461422491781,0.158581109332999
1.5,0.6875184608431286,0.15857246398156963
1.5,0.7246684096693481,0.1585614700966497
1.5,0.7627959887278367,0.15854763844944178
1.5,0.8019011980185942,0.15853040284874453
1.5,0.8419840375416204,0.1585090887432187
1.5,0.8830445072969157,0.15848292000357014
1.5,0.9250826072844799,0.15845094090350262
1.5,0.9680983375043131,0.15841206044465964
1.5,1.0120916979564152,0.1583649972850498
1.5,1.057062688640786,0.1583099199151042
1.5,1.1030113095574259,0.15824598680177945
1.5,1.1499375607063351,0.15817212710636633
1.5,1.1978414420875132,0.1580870842547372
1.5,1.2467229537009596,0.1579894913314216
1.5,1.2965820955466754,0.15787798400865247
1.5,1.34741886762466,0.15775089607409185
1.5,1.3992332699349133,0.15760640363173095
1.5,1.4520253024774359,0.15744252081867
1.5,1.5057949652522273,0.15725687017163034
1.5,1.5605422582592876,0.15704676693546998
1.5,1.6162671814986167,0.1568090112073417
1.5,1.6729697349702153,0.1565406458069832
1.5,1.7306499186740827,0.1562388900047383
1.5,1.7893077326102187,0.15590165361200067
1.5,1.848943176778624,0.15552633564958918
1.5,1.9095562511792976,0.15510938849576666
1.5,1.9711469558122405,0.15464672024342763
1.5,2.0337152906774523,0.15413366421680097
1.5,2.0972612557749333,0.15356241389458994
1.5,2.1617848511046827,0.15292629600126106
1.5,2.2272860766667018,0.15221957448622098
1.5,2.293764932460989,0.15143623197478684
1.5,2.3612214184875455,0.15056998334275548
1.5,2.4296555347463715,0.14961417841219293
1.5,2.499067281237466,0.14856193159129819
1.5,2.569456657960829,0.14740680586761984
1.5,2.640823664916461,0.14614173714056508
1.5,2.7131683021043624,0.14475972681387514
1.5,2.786490569524532,0.14325342072394148
1.5,2.8607904671769715,0.1416154604736085
1.5,2.9360679950616793,0.13983868641973235
1.5,3.0123231531786563,0.13791610341517638
1.5,3.0895559415279026,0.13583740087945267
1.5,3.1677663601094177,0.13359549941199242
1.5,3.246954408923201,0.1311837388014157
1.5,3.327120087969254,0.1285967161313781
1.5,3.408263397247575,0.1258299331371616
1.5,3.490384336758166,0.12288006009166116
1.5,3.573482906501025,0.11974509490220059
1.5,3.6575591064761537,0.11642441546965486
1.5,3.742612936683551,0.1129191160631326
